eV,A,I0,vis
102000,117677576.50944251,837051602.1613401,0.14058580881464028
103000,114841518.9178042,847910348.7878839,0.13544063836698536
104000,111771013.70717356,857055147.6144309,0.1304128608506494
105000,109031293.64921866,873548162.111351,0.12481429001658235
106000,105729871.3528109,882309024.4521213,0.11983315190328575
107000,103143711.69964729,897128936.4798028,0.1149708893621997
108000,101132931.27122939,909770521.1833618,0.11116312181634902
109000,98525123.89860892,921008580.7880167,0.10697525077813134
110000,95746876.25260395,930931144.3149278,0.1028506531737791
111000,93278277.27588265,944693860.4217293,0.09873915898452167
112000,90010063.40219523,955154130.3715265,0.09423616622710305
113000,87491891.45472705,971839299.1765571,0.09002711819624834
114000,85011354.96940553,986028924.7390354,0.08621588356741647
115000,82483495.37097166,999011142.1282623,0.0825651405601457
116000,80266139.72779742,1009436819.868254,0.07951576378824116
117000,77908660.33269784,1020786140.3385496,0.07632221603915879
118000,75362777.25176294,1034907023.4125226,0.07282081921065744
119000,73246895.93126076,1046257046.207166,0.07000850909132839
120000,70945352.22848815,1059964843.3412325,0.066931797478163
121000,68506548.85894513,1077092605.8561232,0.06360321154047191
122000,65972376.956269294,1087113255.7738595,0.06068583618668782
123000,64420784.94195754,1102970440.2148838,0.058406628675748466
124000,61844381.41550424,1108646919.5064027,0.05578365873513535
125000,60325317.80868057,1125806300.6543818,0.053584100367546454
126000,58396938.28933323,1138885313.5114594,0.051275521421275796
127000,56415034.31567037,1151507274.706953,0.04899233861117154
128000,54846443.14049209,1166720534.3369505,0.04700906646137108
129000,52212318.95149966,1179644367.7375343,0.044261067470392636
130000,50487531.95771921,1195958184.8246226,0.042215131430471196
131000,48852522.04492479,1208658929.1596007,0.04041878222741688
132000,47181000.99450931,1212349894.949475,0.03891698361261919
133000,46075879.849047795,1233176255.9384038,0.03736358012665891
134000,44059909.36353826,1239294777.4450936,0.03555240461383314
135000,42967782.300386965,1257722681.8441179,0.03416316086260452
136000,41120667.5795317,1266478313.6622515,0.032468512990659774
137000,39772023.92402102,1279415074.7443724,0.03108609919417081
138000,38450913.44807195,1293668435.576686,0.02972238665692687
139000,36661129.3413725,1304282525.149551,0.028108273042429115
140000,35606001.68504811,1323212649.126048,0.026908752503662255
141000,34315402.40511723,1331579668.4510512,0.025770446348910035
142000,33188920.33246852,1344041067.97862,0.024693382608005594
143000,32278111.00961151,1356839452.8545117,0.023789189606555874
144000,30998879.46132403,1364598180.397641,0.02271648893177552
145000,29815161.905077726,1378385142.2428646,0.02163050151321527
146000,28696717.072700296,1391609767.9885483,0.02062123860640826
147000,27571061.82996863,1402545897.5695462,0.019657867794377476
148000,26616777.878648553,1415889554.351542,0.018798625780411717
149000,25500754.7701056,1433678070.6562543,0.01778694624130844
150000,24712151.959382135,1441961347.381787,0.01713787405206994
151000,23901391.004076857,1449800099.9431326,0.01648599072728328
152000,23207752.263307605,1467248820.3452325,0.01581718924663848
153000,22324689.415463034,1472889650.7745845,0.015157068558206383
154000,21435403.91007362,1483383364.1531515,0.014450346706099723
155000,20561658.341926638,1495423250.4353685,0.013749724926331352
156000,19902187.318857696,1511722532.37072,0.013165238258138949
157000,19267405.890579894,1520740888.9832358,0.012669749350569538
158000,18471665.549988795,1538290599.3046346,0.012007916812557189
159000,17565908.66318831,1545826133.05146,0.011363443978342644
160000,17200846.23668233,1559233903.9270592,0.011031600963370908
161000,16493640.36972027,1565343949.6038356,0.01053675160267145
162000,15968425.429929774,1575726036.2614918,0.010134011282707404
163000,15462362.783787055,1587886259.984533,0.009737701731821565
164000,14846045.68908051,1595463994.5732992,0.009305158712184557
165000,14350907.512941191,1607509792.6892684,0.008927415296757214
166000,13765182.267819136,1616681224.3270288,0.008514469062105382
167000,13352232.015477885,1631137857.1991792,0.008185839079478514
168000,12730354.10044555,1642460033.7172785,0.007750784700455526
169000,12201677.984727224,1651161377.8459954,0.007389754961834675
170000,11674433.900954945,1663666176.8169007,0.00701729353138121
171000,11412157.540694106,1677655818.6282845,0.006802442678633048
172000,11044281.973891756,1687806331.5106292,0.006543571835049846
173000,10653148.206634184,1694687198.2754943,0.006286203269532441
174000,10355429.853643771,1706970400.466929,0.006066555020995748
175000,9940946.319115512,1711245946.3963368,0.005809186189775855
176000,9531705.736110173,1719520544.291885,0.005543234576493776
177000,9199909.54951748,1730979009.7425191,0.005314859104435909
178000,8913751.002989098,1745033110.2045445,0.0051080698416915826
179000,8446721.499723637,1748038771.906928,0.004832113357822804
180000,8178060.931219294,1759821713.2330272,0.004647096276699021
